Fecha;Fuente;Autor
2025-11-21;Perfumarte;Adrian Pons

Categoría;Nombre;Importe;Divisa;URL;URL_Imagen
Mujer;Lima y Bergamota (JMO);9.8;€;https://www.perfumarte.com/tienda/citricos/lima-y-bergamota-jmo.html;https://www.perfumarte.com/tienda/6122-home_default/lima-y-bergamota-jmo.jpg
Mujer;Pétalos de Azahar (JGC);9.8;€;https://www.perfumarte.com/tienda/florales/petalos-de-azahar-jgc.html;https://www.perfumarte.com/tienda/6102-home_default/petalos-de-azahar-jgc.jpg
Mujer;Pétalos de Malvavisco (ESY);9.8;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-de-malvavisco-esy.html;https://www.perfumarte.com/tienda/4568-home_default/petalos-de-malvavisco-esy.jpg
Mujer;Lima Solar (ELS);9.8;€;https://www.perfumarte.com/tienda/citricos/lima-solar-els.html;https://www.perfumarte.com/tienda/6100-home_default/lima-solar-els.jpg
Mujer;Dulce Jacaranda (DHP);9.8;€;https://www.perfumarte.com/tienda/dulces/dulce-jacaranda-dhp.html;https://www.perfumarte.com/tienda/6097-home_default/dulce-jacaranda-dhp.jpg
Mujer;Lima de Sicilia (DGQ);9.8;€;https://www.perfumarte.com/tienda/perfume-de-mujer/lima-de-sicilia-dgq.html;https://www.perfumarte.com/tienda/6163-home_default/lima-de-sicilia-dgq.jpg
Mujer;Agua cítrica (CRI);9.8;€;https://www.perfumarte.com/tienda/frescos/agua-citrica-cri.html;https://www.perfumarte.com/tienda/6133-home_default/agua-citrica-cri.jpg
Mujer;Pétalos Cítricos Verdes (CKE);9.8;€;https://www.perfumarte.com/tienda/florales/petalos-citricos-verdes-cke.html;https://www.perfumarte.com/tienda/6068-home_default/petalos-citricos-verdes-cke.jpg
Mujer;Pétalos de Gardenia (CH2);9.8;€;https://www.perfumarte.com/tienda/florales/petalos-de-gardenia-ch2.html;https://www.perfumarte.com/tienda/6078-home_default/petalos-de-gardenia-ch2.jpg
Mujer;Pétalos de Melati (CAA);9.8;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-de-melati-caa.html;https://www.perfumarte.com/tienda/6084-home_default/petalos-de-melati-caa.jpg
Mujer;Pétalos Verdes (ARO);9.8;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-verdes.html;https://www.perfumarte.com/tienda/6054-home_default/petalos-verdes.jpg
Mujer;Dulce Vainilla (ARC);9.8;€;https://www.perfumarte.com/tienda/dulces/dulce-vainilla-arc.html;https://www.perfumarte.com/tienda/6069-home_default/dulce-vainilla-arc.jpg
Mujer;Pétalos de Nerolí (ABY);9.8;€;https://www.perfumarte.com/tienda/florales/petalos-de-malvavisco-aby.html;https://www.perfumarte.com/tienda/6051-home_default/petalos-de-malvavisco-aby.jpg
Mujer;Pétalos sedosos (ZVZ);12.2;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-sedosos-zvz.html;https://www.perfumarte.com/tienda/6734-home_default/petalos-sedosos-zvz.jpg
Mujer;Pétalos de Dragón (CHL);12.2;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-de-dragon-chl.html;https://www.perfumarte.com/tienda/6727-home_default/petalos-de-dragon-chl.jpg
Mujer;Pétalos y Almizcle (NRH);12.2;€;https://www.perfumarte.com/tienda/perfume-de-mujer/petalos-y-almizcle-nrh.html;https://www.perfumarte.com/tienda/6728-home_default/petalos-y-almizcle-nrh.jpg
Mujer;Dulce Cachemir (PCA);12.2;€;https://www.perfumarte.com/tienda/dulces/dulce-cachemir-pca.html;https://www.perfumarte.com/tienda/6144-home_default/dulce-cachemir-pca.jpg
Mujer;Dulce Chocolate (LAV);12.2;€;https://www.perfumarte.com/tienda/dulces/dulce-chocolate-lav.html;https://www.perfumarte.com/tienda/6158-home_default/dulce-chocolate-lav.jpg
